Tới chỗ nào để mua Bảo Hiểm?|Chu Vương|Thân Công Báo|Thần Tiên Gia Gia
Nên xem thông tin, hướng dẫn ở đâu là tốt nhất?|Diễn Đàn|Nghe Lung tung|Câu này khó quá
Chỗ nào không thể mua vũ khí môn phái?|Tiệm Thuốc|Sư Phụ|Chủ Tiệm Vũ Khí
Bao nhiêu cấp là có thể nhận Áp Tiêu?|30|20|40
Tiêu chí của CQ Tâm Diện là gì?|Cày Cuốc Lâu Dài|Hoàn Toàn Private|Cày Cuốc Dễ Dàng
Phong Yêu Kính yêu cầu trang bị Lam Kim cấp bậc bao nhiêu?|15|25|35
Bao nhiêu cấp có thể nhận nhiệm vụ Sư Môn?|10|15|20
Trong CQ Tâm Diện có thể nâng cấp cánh hay không?|Có|Không|Không biết
Trong CQ Tâm Diện thú cưỡi có ép được không?|Có|Không|Ai mà biết đc
Ngoài Thành Kiều còn có thể tìm được sổ xố ở đâu?|Lăng Ly Sơn|Train Quái|Nhiệm Vụ
Ai có thể cho biết vị trí Thương Nhân Dạo Chơi?|Chủ Tiệm Rượu|Chủ Tiệm Tạp Hóa|Chủ Tiệm Y Dược
Bao nhiêu cấp mới có thể lập bang?|40|30|50
Kết hôn ở đâu?|Nguyệt Lão|Hồng Nương|Thần Tiên Gia Gia
Ở đâu có thể học được kỹ năng Luyện Đan?|Ngụy Quốc|Hàn Quốc|Triệu Quốc
Ở đâu có thể học được kỹ năng Rèn Đúc?|Tần Quốc|Sở Quốc|Yên Quốc
Ở đâu có thể học được kỹ năng Dược Sư?|Triệu Quốc|Yên Quốc|Hàn Quốc
Ở đâu có thể học được kỹ năng Thái Dã?|Yên Quốc|Triệu Quốc|Tề Quốc
Ở đâu có thể học được kỹ năng Cơ Quan?|Tề Quốc|Tần Quốc|Ngụy Quốc
Ở đâu có thể học được kỹ năng May Vá?|Hàn Quốc|Tần Quốc|Tề Quốc
Ở đâu có thể học được kỹ năng Điêu Khắc?|Sở Quốc|Triệu Quốc|Yên Quốc
Chiến Quốc Tâm Diện có chức năng mở khố từ xa vào đâu để thiết lập?|Kĩ Năng|Hành Trang|Cài Đặt
Nhiệm vụ Sư Gia chủ yếu đạt được cái gì?|Tiềm Năng|Kinh Nghiệm|Ngân Lượng
Nhiệm vụ Sư Môn chủ yếu đạt được cái gì?|Kinh Nghiệm|Tiềm Năng|Ngân Lượng
Người chơi không thể tự lên cấp mà phải bấm Thăng Cấp từ lv bao nhiêu?|10|5|15
Tìm ai để xóa được Kỹ Năng Sinh Hoạt|Thân Công Báo|Thần Tiên Gia Gia|Sư Gia
10
